form	lemma	POS	register
หัวใส	หัวใส	adjective	formal
ห่างไกล	ห่างไกล	adjective	formal
หาตัวจับยาก	หาตัวจับยาก	adjective	formal
หายาก	หายาก	adjective	formal
เหม็นหืน	เหม็นหืน	adjective	formal
เหยียดยาว	เหยียดยาว	adjective	formal
เหิมฮึก	เหิมฮึก	adjective	formal
ใหม่	ใหม่	adjective	formal
อกสามศอก	อกสามศอก	adjective	formal
อดุล	อดุล	adjective	formal
อยากรู้อยากเห็น	อยากรู้อยากเห็น	adjective	formal
อวดดี	อวดดี	adjective	formal
อ้วนจ้ำม่ำ	อ้วนจ้ำม่ำ	adjective	formal
ออกนอกหน้า	ออกนอกหน้า	adjective	formal
อ่อนหัด	อ่อนหัด	adjective	formal
อ้อมค้อม	อ้อมค้อม	adjective	formal
อัปมงคล	อัปมงคล	adjective	formal
อาธรรม	อาธรรม	adjective	formal
อำพัน	อำพัน	adjective	formal
อินฟราเรด	อินฟราเรด	adjective	formal
อุกฤษฏ์	อุกฤษฏ์	adjective	formal
อุ่น	อุ่น	adjective	formal
เอกระ	เอกระ	adjective	formal
เอวกลม	เอวกลม	adjective	formal
เอียง	เอียง	adjective	formal
โอชา	โอชา	adjective	formal
โอบอ้อมอารี	โอบอ้อมอารี	adjective	formal
ฮือฮา	ฮือฮา	adjective	formal
เฮิร์ต	เฮิร์ต	adjective	informal
กรรมพันธุ์	กรรมพันธุ์	adjective	formal
กระชั้น	กระชั้น	adjective	formal
กระดูกแข็ง	กระดูกแข็ง	adjective	formal
กระต่ายตื่นตูม	กระต่ายตื่นตูม	adjective	formal
กระหึ่ม	กระหึ่ม	adjective	formal
กล้าแข็ง	กล้าแข็ง	adjective	formal
กลิ้งกลอก	กลิ้งกลอก	adjective	formal
กันแดด	กันแดด	adjective	formal
เก้งก้าง	เก้งก้าง	adjective	formal
เกษมศานต์	เกษมศานต์	adjective	formal
โกรธ	โกรธ	adjective	formal
โกร๋น	โกร๋น	adjective	formal
ใกล้	ใกล้	adjective	formal
ไกลปืนเที่ยง	ไกลปืนเที่ยง	adjective	formal
ไกลโพ้น	ไกลโพ้น	adjective	formal
ขนาดเล็ก	ขนาดเล็ก	adjective	formal
ขลัง	ขลัง	adjective	formal
ของเรา	ของเรา	adjective	formal
ขาเข้า	ขาเข้า	adjective	formal
ข้างเคียง	ข้างเคียง	adjective	formal
ขายส่ง	ขายส่ง	adjective	formal
ขาวจั๊วะ	ขาวจั๊วะ	adjective	formal
ขี้โม้	ขี้โม้	adjective	formal
ขี้หึง	ขี้หึง	adjective	formal
ขึ้นกล้อง	ขึ้นกล้อง	adjective	formal
เข้าท่า	เข้าท่า	adjective	formal
เข้าหู	เข้าหู	adjective	formal
เขียว	เขียว	adjective	formal
เขียวขจี	เขียวขจี	adjective	formal
แข็งขัน	แข็งขัน	adjective	formal
คมคาย	คมคาย	adjective	formal
ครึ่ง	ครึ่ง	adjective	formal
คล้ายกัน	คล้ายกัน	adjective	formal
คอเดียวกัน	คอเดียวกัน	adjective	formal
คุด	คุด	adjective	formal
โค้ง	โค้ง	adjective	formal
ง่อนแง่น	ง่อนแง่น	adjective	formal
งาม	งาม	adjective	formal
งุนงง	งุนงง	adjective	formal
งุ่นง่าน	งุ่นง่าน	adjective	formal
โง่เง่า	โง่เง่า	adjective	formal
จืดจาง	จืดจาง	adjective	formal
เจริญอาหาร	เจริญอาหาร	adjective	formal
เจ้าเล่ห์	เจ้าเล่ห์	adjective	formal
เจ้าสำนวน	เจ้าสำนวน	adjective	formal
แจ้	แจ้	adjective	formal
แจ๋	แจ๋	adjective	formal
ใจเบา	ใจเบา	adjective	formal
ใจสูง	ใจสูง	adjective	formal
ใจหาย	ใจหาย	adjective	formal
ฉกาจ	ฉกาจ	adjective	formal
ฉ้อโกง	ฉ้อโกง	adjective	formal
ฉ้อฉล	ฉ้อฉล	adjective	formal
เฉียบขาด	เฉียบขาด	adjective	formal
โฉ่งฉ่าง	โฉ่งฉ่าง	adjective	formal
ชรา	ชรา	adjective	formal
ชวนหัว	ชวนหัว	adjective	formal
ชัดแจ๋ว	ชัดแจ๋ว	adjective	formal
ชาญฉลาด	ชาญฉลาด	adjective	formal
เชื่อง	เชื่อง	adjective	formal
แช่มชื่น	แช่มชื่น	adjective	formal
ซ่า	ซ่า	adjective	formal
ซื่อตรง	ซื่อตรง	adjective	formal
ซูบผอม	ซูบผอม	adjective	formal
ด้อย	ด้อย	adjective	formal
ด้านวัฒนธรรม	ด้านวัฒนธรรม	adjective	formal
ดำขำ	ดำขำ	adjective	formal
ดี	ดี	adjective	formal
ดีงาม	ดีงาม	adjective	formal
ดื่มด่ำ	ดื่มด่ำ	adjective	formal
ดื้อดึง	ดื้อดึง	adjective	formal
แดงเถือก	แดงเถือก	adjective	formal
แด่น	แด่น	adjective	formal
ตกใจกลัว	ตกใจกลัว	adjective	formal
ตระหนก	ตระหนก	adjective	formal
ต๊อกต๋อย	ต๊อกต๋อย	adjective	formal
ตะเบ็งมาน	ตะเบ็งมาน	adjective	formal
ต่างกัน	ต่างกัน	adjective	formal
ต่างประเทศ	ต่างประเทศ	adjective	formal
ตำแย	ตำแย	adjective	formal
ติดอาวุธ	ติดอาวุธ	adjective	formal
เตะตา	เตะตา	adjective	formal
ถี่	ถี่	adjective	formal
ถูกปาก	ถูกปาก	adjective	formal
ท้องแก่	ท้องแก่	adjective	formal
ทะเล่อทะล่า	ทะเล่อทะล่า	adjective	formal
ทันคน	ทันคน	adjective	formal
ทางไฟฟ้า	ทางไฟฟ้า	adjective	formal
ทางศีลธรรม	ทางศีลธรรม	adjective	formal
ทางอาญา	ทางอาญา	adjective	formal
เทศ	เทศ	adjective	formal
เท่อ	เท่อ	adjective	formal
เท่าตัว	เท่าตัว	adjective	formal
เที่ยงธรรม	เที่ยงธรรม	adjective	formal
นวลละออง	นวลละออง	adjective	formal
นอกทำเนียบ	นอกทำเนียบ	adjective	formal
นอกวัด	นอกวัด	adjective	informal
นอกสมรส	นอกสมรส	adjective	formal
น้อยที่สุด	น้อยที่สุด	adjective	formal
น้อยลง	น้อยลง	adjective	formal
น่าขายหน้า	น่าขายหน้า	adjective	formal
น่าคบ	น่าคบ	adjective	formal
น่าชม	น่าชม	adjective	formal
น่ารังเกียจ	น่ารังเกียจ	adjective	formal
น่าวิตก	น่าวิตก	adjective	formal
น่าสงสัย	น่าสงสัย	adjective	formal
น่าสนุก	น่าสนุก	adjective	formal
น่าเสียใจ	น่าเสียใจ	adjective	formal
น่าหนักใจ	น่าหนักใจ	adjective	formal
น้ำเงิน	น้ำเงิน	adjective	formal
นิ้ง	นิ้ง	adjective	informal
นิ่งนอนใจ	นิ่งนอนใจ	adjective	formal
